verse,ar,en,nl,timestamps
10:9,إِنَّ ٱلَّذِينَ ءَامَنُوا,"Indeed, those who have believed","Voorwaar, degenen die geloven",3:24.313
,وَعَمِلُوا ٱلصَّـٰلِحَـٰتِ,and done righteous deeds -,en goede werken verrichten.,3:27.266
,يَهْدِيهِمْ رَبُّهُم,their Lord will guide them,hun Heer zal hen leiden,3:29.693
,بِإِيمَـٰنِهِمْ ۖ,because of their faith.,"vanwege hun geloof,",3:32.066
,تَجْرِى مِن تَحْتِهِمُ ٱلْأَنْهَـٰرُ,Beneath them rivers will flow,(naar de plaats) waar onder door de rivieren stromen,3:34.680
,فِى جَنَّـٰتِ ٱلنَّعِيمِ,in the Gardens of Pleasure.,in de Tuinen van gelukzaligheid (het Paradijs).,3:40.573
10:10,دَعْوَىٰهُمْ فِيهَا,"Their call therein will be,",Zij smeken daarin:,3:44.881
,سُبْحَـٰنَكَ ٱللَّهُمَّ,"""Exalted are You, O Allah,""","""Soebhanaka Allahoemma,"" (Heilig bent U, O Allah)",3:46.880
,وَتَحِيَّتُهُمْ فِيهَا,"and their greeting therein will be,",en hun begroeting daarin is:,3:53.386
,سَلَـٰمٌ ۚ,"""Peace.""","""Salam!"" (Vrede, veiligheid).",3:56.160
,وَءَاخِرُ دَعْوَىٰهُمْ أَنِ,"And the last of their call will be,",En hun laatste smeekbede is:,3:59.666
,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ,"""Praise to Allah, Lord of the worlds!""","""Alhamdoe lillahi Rabbil alamin!"" (Alle lof zij Allah, de Heer der Werelden.)",4:02.760
10:11,وَلَوْ يُعَجِّلُ ٱللَّهُ لِلنَّاسِ ٱلشَّرَّ ٱسْتِعْجَالَهُم بِٱلْخَيْرِ لَقُضِىَ إِلَيْهِمْ أَجَلُهُمْ ۖ فَنَذَرُ ٱلَّذِينَ لَا يَرْجُونَ لِقَآءَنَا فِى طُغْيَـٰنِهِمْ يَعْمَهُونَ,"And if Allah was to hasten for the people the evil [they invoke] as He hastens for them the good, their term would have been ended for them. But We leave the ones who do not expect the meeting with Us, in their transgression, wandering blindly.","En als Allah het kwade voor de mensen zou bespoedigen zoals zij om bcspoediging van het goede vragen, dan zou hun termijn zeker reeds zijn beëindigd. En Wij laten degenen die de ontmoeting met Ons niet verwachten rusteloos verkeren in hun buitensporigteid.",4:08.410
10:12,وَإِذَا مَسَّ ٱلْإِنسَـٰنَ ٱلضُّرُّ دَعَانَا لِجَنۢبِهِۦٓ أَوْ قَاعِدًا أَوْ قَآئِمًا فَلَمَّا كَشَفْنَا عَنْهُ ضُرَّهُۥ مَرَّ كَأَن لَّمْ يَدْعُنَآ إِلَىٰ ضُرٍّ مَّسَّهُۥ ۚ كَذَٰلِكَ زُيِّنَ لِلْمُسْرِفِينَ مَا كَانُوا يَعْمَلُونَ,"And when affliction touches man, he calls upon Us, whether lying on his side or sitting or standing; but when We remove from him his affliction, he continues [in disobedience] as if he had never called upon Us to [remove] an affliction that touched him. Thus is made pleasing to the transgressors that which they have been doing.","En wanneer tegenslag de mens treft, dan roept hij Ons aan, liggend, zittend of staande. En als Wij dan de tegenslag van hem hebben weggenomen, dan vervolgt hij (zijn slechte pad) alsof hij Ons nooit heeft aangeroepen wegens een tegenslag die hem trof. Zo is voor de buitensporigen schoonschijnend gemaakt wat zij plachten te doen.",4:35.234
10:13,وَلَقَدْ أَهْلَكْنَا ٱلْقُرُونَ مِن قَبْلِكُمْ لَمَّا ظَلَمُوا ۙ وَجَآءَتْهُمْ رُسُلُهُم بِٱلْبَيِّنَـٰتِ وَمَا كَانُوا لِيُؤْمِنُوا ۚ كَذَٰلِكَ نَجْزِى ٱلْقَوْمَ ٱلْمُجْرِمِينَ,"And We had already destroyed generations before you when they wronged, and their messengers had come to them with clear proofs, but they were not to believe. Thus do We recompense the criminal people.","En voorwaar, Wij hebben de generaties vóór hen vernietigd tom zij onrecht pleegden, terwijl hun Boodschappers tot hen waren gekomen met de duidelijke bewijzen, maar zij geloofden niet Zo vergolden Wij het boosaardige volk.",5:16.762
10:14,ثُمَّ جَعَلْنَـٰكُمْ خَلَـٰٓئِفَ فِى ٱلْأَرْضِ مِنۢ بَعْدِهِمْ لِنَنظُرَ كَيْفَ تَعْمَلُونَ,Then We made you successors in the land after them so that We may observe how you will do.,Vervolgens maakten Wij juli ie tot gevohnachtigden op aarde zodat Wij zouden zien hoe jullie handelen.,5:41.134
10:15,وَإِذَا تُتْلَىٰ عَلَيْهِمْ ءَايَاتُنَا بَيِّنَـٰتٍ ۙ قَالَ ٱلَّذِينَ لَا يَرْجُونَ لِقَآءَنَا ٱئْتِ بِقُرْءَانٍ غَيْرِ هَـٰذَآ أَوْ بَدِّلْهُ ۚ قُلْ مَا يَكُونُ لِىٓ أَنْ أُبَدِّلَهُۥ مِن تِلْقَآئِ نَفْسِىٓ ۖ إِنْ أَتَّبِعُ إِلَّا مَا يُوحَىٰٓ إِلَىَّ ۖ إِنِّىٓ أَخَافُ إِنْ عَصَيْتُ رَبِّى عَذَابَ يَوْمٍ عَظِيمٍ,"And when Our verses are recited to them as clear evidences, those who do not expect the meeting with Us say, ""Bring us a Qur’ān other than this or change it."" Say, [O Muhammad], ""It is not for me to change it on my own accord. I only follow what is revealed to me. Indeed I fear, if I should disobey my Lord, the punishment of a tremendous Day.""","En wanneer Onze duidelijke Verzen aan hen worden voorgelezen, dan zeggen degenen die de ontmoeting met Ons niet verwachten: ""Breng een andere Koren dan deze, of verander hem."" Zeg: ""Het past mij niet dat ik hem verander uit eigen wil, ik volg niets dan wat aan mij is geopenbaard. Voorwaar, ik vrees, wanneer ik mijn Heer ongehoorzaam ben, de bestraffing van een geweldige Dag.""",6:00.504
10:16,قُل لَّوْ شَآءَ ٱللَّهُ مَا تَلَوْتُهُۥ عَلَيْكُمْ وَلَآ أَدْرَىٰكُم بِهِۦ ۖ فَقَدْ لَبِثْتُ فِيكُمْ عُمُرًا مِّن قَبْلِهِۦٓ ۚ أَفَلَا تَعْقِلُونَ,"Say, ""If Allah had willed, I would not have recited it to you, nor would He have made it known to you, for I had remained among you a lifetime before it. Then will you not reason?""","Zeg: ""Als Allah het had gewild, dan had ik het niet aan jullie voorgedragen en had Hij hem niet aan jullie bekend gemaakt. En voorzeker, ik heb een leeftijd lang vóór hem (de Koran) temidden van jullie geleefd. Denken jullie dan niet na?""",7:13.381
10:17,فَمَنْ أَظْلَمُ,So who is more unjust,Wie is dan onrechtvaardiger,7:40.736
,مِمَّنِ ٱفْتَرَىٰ عَلَى ٱللَّهِ كَذِبًا,than he who invents a lie about Allah,dan degene die een leugen over Allah verzint,7:42.200
,أَوْ كَذَّبَ بِـَٔايَـٰتِهِۦٓ ۚ,or denies His signs?,of die liegt over Zijn Verzen.,7:48.440
,إِنَّهُۥ لَا يُفْلِحُ ٱلْمُجْرِمُونَ,"Indeed, the criminals will not succeed.","Voorwaar, de misdadigers zullen niet slagen.",7:52.346
10:18,وَيَعْبُدُونَ مِن دُونِ ٱللَّهِ,And they worship other than Allah,En zij aanbidden naast Allah,7:58.175
,مَا لَا يَضُرُّهُمْ,that which neither harms them,wat hen niet schaadt,8:03.920
,وَلَا يَنفَعُهُمْ,"nor benefits them,","en niet baat,",8:06.093
,وَيَقُولُونَ,"and they say,",en zij zeggen:,8:11.066
,هَـٰٓؤُلَآءِ شُفَعَـٰٓؤُنَا عِندَ ٱللَّهِ ۚ,"""These are our intercessors with Allah.""","""Dezen zijn onze voorsprekers bij Allah.""",8:12.493
,قُلْ أَتُنَبِّـُٔونَ ٱللَّهَ بِمَا لَا يَعْلَمُ,"Say, ""Do you inform Allah of something He does not know","Zeg. ""Willen jullie Allah inlichten over wat Hij niet kent","8:24.760,8:23.381"
,فِى ٱلسَّمَـٰوَٰتِ وَلَا فِى ٱلْأَرْضِ ۚ,"in the heavens or on the earth?""","in de hemelen en op de aarde?""",8:29.546
,سُبْحَـٰنَهُۥ وَتَعَـٰلَىٰ عَمَّا يُشْرِكُونَ,Exalted is He and high above what they associate with Him.,Heilig is Hij en Verheven boven de deelgenoten die zij aan Hem toekennen.,8:33.400
10:19,وَمَا كَانَ ٱلنَّاسُ إِلَّآ أُمَّةً وَٰحِدَةً,"And mankind was not but one community [united in religion],","En de mensheid behoorde slechts tot één godsdienst,",8:42.349
,فَٱخْتَلَفُوا ۚ,but [then] they differed.,maar zij waren het oneens met elkaar.,8:53.333
,وَلَوْلَا كَلِمَةٌ سَبَقَتْ مِن رَّبِّكَ,"And if not for a word that preceded from your Lord,","En ware het niet dat er een Woord van jouw Heer was vooruitgegaan,",8:55.400
,لَقُضِىَ بَيْنَهُمْ,it would have been judged between them [immediately],dan zou er tussen hen zeker reeds zijn beslist,9:00.826
,فِيمَا فِيهِ يَخْتَلِفُونَ,concerning that over which they differ.,over dat waarover zij het met elkaar oneens zijn.,9:02.880
10:20,وَيَقُولُونَ,"And they say,",En zij zeggen:,9:07.038
,لَوْلَآ أُنزِلَ عَلَيْهِ ءَايَةٌ مِّن رَّبِّهِۦ ۖ,"""Why is a sign not sent down to him from his Lord?""","""Waarom is er niet een Teken aan hem neergezonden van zijn Heer.""",9:08.533
,فَقُلْ إِنَّمَا ٱلْغَيْبُ لِلَّهِ,"So say, ""The unseen is only for Allah [to administer],","Zeg dan: ""Voorwaar, het onwaarneembare behoort slechts aan Allah.",9:17.853
,فَٱنتَظِرُوٓا,so wait;,"Wachten jullie dan,",9:23.666
,إِنِّى مَعَكُم مِّنَ ٱلْمُنتَظِرِينَ,"indeed, I am with you among those who wait.""","waarlijk, ik ben met jullie één van de wachtenden.""",9:31.200
10:21,وَإِذَآ أَذَقْنَا ٱلنَّاسَ رَحْمَةً مِّنۢ بَعْدِ ضَرَّآءَ مَسَّتْهُمْ إِذَا لَهُم مَّكْرٌ فِىٓ ءَايَاتِنَا ۚ قُلِ ٱللَّهُ أَسْرَعُ مَكْرًا ۚ إِنَّ رُسُلَنَا يَكْتُبُونَ مَا تَمْكُرُونَ,"And when We give the people a taste of mercy after adversity has touched them, at once they conspire against Our verses. Say, ""Allah is swifter in strategy."" Indeed, Our messengers [i.e., angels] record that which you conspire.","En als Wij de mensen Barmhartigheid deden proeven nadat tegenspoed hen had getroffen, dan is er bij ben een list tegen Onze Tekenen. Zeg: ""Allah is sneller met een plan."" Voorwaar, Onze gezanten (Engelen) schrijven op wat jullie beramen.",9:41.838
10:22,هُوَ ٱلَّذِى يُسَيِّرُكُمْ فِى ٱلْبَرِّ وَٱلْبَحْرِ ۖ حَتَّىٰٓ إِذَا كُنتُمْ فِى ٱلْفُلْكِ وَجَرَيْنَ بِهِم بِرِيحٍ طَيِّبَةٍ وَفَرِحُوا بِهَا جَآءَتْهَا رِيحٌ عَاصِفٌ وَجَآءَهُمُ ٱلْمَوْجُ مِن كُلِّ مَكَانٍ وَظَنُّوٓا أَنَّهُمْ أُحِيطَ بِهِمْ ۙ دَعَوُا ٱللَّهَ مُخْلِصِينَ لَهُ ٱلدِّينَ لَئِنْ أَنجَيْتَنَا مِنْ هَـٰذِهِۦ لَنَكُونَنَّ مِنَ ٱلشَّـٰكِرِينَ,"It is He who enables you to travel on land and sea until, when you are in ships and they sail with them by a good wind and they rejoice therein, there comes a storm wind and the waves come upon them from every place and they expect to be engulfed, they supplicate Allah, sincere to Him in religion, ""If You should save us from this, we will surely be among the thankful.""","Hij is het die jullie in staat stelt om over land en over de zee te reizen, totdat wanneer jullie in de schepen zijn en deze met lien vooftvaren met een gunstige wind en zij zich daarover verheugen, en er dan een stormachtige wind tot hen komt. En wanneer de golven vaa alle kanten tot hen komen en zij ervan overtuigd zijn dat zij door hen zijn ingesloten, dan roepen zij Allah aan, Hem zuiver aanbiddend: ""Als U ons hieruit redt, dan zullen wij zeker tot de dankbaren behoren.""",10:16.100
10:23,فَلَمَّآ أَنجَىٰهُمْ إِذَا هُمْ يَبْغُونَ فِى ٱلْأَرْضِ بِغَيْرِ ٱلْحَقِّ ۗ يَـٰٓأَيُّهَا ٱلنَّاسُ إِنَّمَا بَغْيُكُمْ عَلَىٰٓ أَنفُسِكُم ۖ مَّتَـٰعَ ٱلْحَيَوٰةِ ٱلدُّنْيَا ۖ ثُمَّ إِلَيْنَا مَرْجِعُكُمْ فَنُنَبِّئُكُم بِمَا كُنتُمْ تَعْمَلُونَ,"But when He saves them, at once they commit injustice upon the earth without right. O mankind, your injustice is only against yourselves, [being merely] the enjoyment of worldly life. Then to Us is your return, and We will inform you of what you used to do.","Toen Hij hen dan gered had. handelden zij buitensporig op aarde, zonder recht. O mensen, jullie buitensporigheid is slechts ten nadele van jullie, (het is) als een genieting van het wereldse leven, Vervolgens is jullie terugkeer tot Ons, waarna Wij jullie zullen inlichten over wat jullie plachten te doen.",11:19.632
10:24,إِنَّمَا مَثَلُ ٱلْحَيَوٰةِ ٱلدُّنْيَا كَمَآءٍ أَنزَلْنَـٰهُ مِنَ ٱلسَّمَآءِ فَٱخْتَلَطَ بِهِۦ نَبَاتُ ٱلْأَرْضِ مِمَّا يَأْكُلُ ٱلنَّاسُ وَٱلْأَنْعَـٰمُ حَتَّىٰٓ إِذَآ أَخَذَتِ ٱلْأَرْضُ زُخْرُفَهَا وَٱزَّيَّنَتْ وَظَنَّ أَهْلُهَآ أَنَّهُمْ قَـٰدِرُونَ عَلَيْهَآ أَتَىٰهَآ أَمْرُنَا لَيْلًا أَوْ نَهَارًا فَجَعَلْنَـٰهَا حَصِيدًا كَأَن لَّمْ تَغْنَ بِٱلْأَمْسِ ۚ كَذَٰلِكَ نُفَصِّلُ ٱلْـَٔايَـٰتِ لِقَوْمٍ يَتَفَكَّرُونَ,"The example of [this] worldly life is but like rain which We have sent down from the sky that the plants of the earth absorb - [those] from which men and livestock eat - until, when the earth has taken on its adornment and is beautified and its people suppose that they have capability over it, there comes to it Our command by night or by day, and We make it as a harvest, as if it had not flourished yesterday. Thus do We explain in detail the signs for a people who give thought.","Voorwaar, de gelijkenis van het wereldse leven is als water dat Wij uit de hemel neerzenden, waardoor he de gewassen van de aarde in een rnengeling doet groeien, waarvan de mensen en het vee eten. Totdat, wanneer de aarde haar versierselen heeft aangenomen en zij mooi is geworden en haar bewoners menen dat zij machthebbers zijn over haar, Onze bestraffing tot hen komt, in de nacht of overdag, waarop Wij haar tot een afgemaaid veld maken, alsof er de dag ervoor niets groeide. Zo zetten Wij de Tekenen uiteen aan een volk dat nadenkt.",12:06.200
10:25,وَٱللَّهُ يَدْعُوٓا إِلَىٰ دَارِ ٱلسَّلَـٰمِ وَيَهْدِى مَن يَشَآءُ إِلَىٰ صِرَٰطٍ مُّسْتَقِيمٍ,"And Allah invites to the Home of Peace [i.e., Paradise] and guides whom He wills to a straight path.","En Allah roept naar het Huis van de Vrede (Dâroessalâm, het Paradijs) en Hij leidt wie Hij wil naar een recht Pad.",13:37.727
,,,,14:00.544
