verse,ar,en,nl,timestamps
,أُو۟لِى ٱلنَّعْمَةِ,"those of ease [in life],",de bezitters van weelde aan Mij over.,1:44.533
,وَمَهِّلْهُمْ قَلِيلًا,and allow them respite a little.,En geef hen een korte tijd uitstel.,1:47.906
,وَذَرْنِى وَٱلْمُكَذِّبِينَ,"And leave Me with [the matter of] the deniers,","En laat de loochenaars,",1:51.548
,أُو۟لِى ٱلنَّعْمَةِ,"those of ease [in life],",de bezitters van weelde aan Mij over.,1:54.640
,وَمَهِّلْهُمْ قَلِيلًا,and allow them respite a little.,En geef hen een korte tijd uitstel.,1:56.973
73:12,إِنَّ لَدَيْنَآ أَنكَالًا وَجَحِيمًا,"Indeed, with Us [for them] are shackles and burning fire.","Waarlijk, bij Ons zijn (voor hen) ketenenen een laaiend Vuur.",2:00.801
73:13,وَطَعَامًا ذَا غُصَّةٍ وَعَذَابًا أَلِيمًا,And food that chokes and a painful punishment -,En voedsel waarin zij stikken en een pijnlijke bestraffing.,2:11.783
73:14,يَوْمَ تَرْجُفُ ٱلْأَرْضُ وَٱلْجِبَالُ,On the Day the earth and the mountains will convulse,Op de Dag waarop de aarde en de bergen heftig zullen beven,2:21.852
,وَكَانَتِ ٱلْجِبَالُ كَثِيبًا مَّهِيلًا,and the mountains will become a heap of sand pouring down.,en de bergen tot uit elkaar geblazen stof zullen worden.,2:25.813
73:15,إِنَّآ أَرْسَلْنَآ إِلَيْكُمْ رَسُولًا,"Indeed, We have sent to you a Messenger","Waarlijk, Wij hebben een Boodschapper tot jullie gezonden",2:31.780
,إِنَّآ أَرْسَلْنَآ إِلَيْكُمْ رَسُولًا,"Indeed, We have sent to you a Messenger","Waarlijk, Wij hebben een Boodschapper tot jullie gezonden",2:40.613
,شَـٰهِدًا عَلَيْكُمْ,as a witness upon you,"als getuige over jullie,",2:50.666
,كَمَآ أَرْسَلْنَآ إِلَىٰ فِرْعَوْنَ رَسُولًا,just as We sent to Pharaoh a messenger.,zoals Wij een Boodschapper aan Farao hebben gestuurd.,2:54.066
73:16,فَعَصَىٰ فِرْعَوْنُ ٱلرَّسُولَ,"But Pharaoh disobeyed the messenger,","Maar Farao was ongehoorzaam aan de Boodschapper,",3:04.015
,فَأَخَذْنَـٰهُ أَخْذًا وَبِيلًا,so We seized him with a ruinous seizure.,dus grepen Wij hem met een zware bestraffing.,3:07.746
73:17,فَكَيْفَ تَتَّقُونَ إِن كَفَرْتُمْ,"Then how can you fear, if you disbelieve,",Hoe zullen jullie je dan beschermen,"3:13.879,3:12.415"
,يَوْمًا يَجْعَلُ ٱلْوِلْدَٰنَ شِيبًا,a Day that will make the children white-haired?,als jullie de Dag waarop de kinderen grijsaards worden ontkennen?,3:19.933
73:18,ٱلسَّمَآءُ مُنفَطِرٌۢ بِهِۦ ۚ,The heaven will break apart therefrom;,De hemel zal dan gespleten zijn,3:25.549
,كَانَ وَعْدُهُۥ مَفْعُولًا,ever is His promise fulfilled.,en Zijn belofte wordt zeker vervuld.,3:33.106
73:19,إِنَّ هَـٰذِهِۦ تَذْكِرَةٌ ۖ,"Indeed, this is a reminder,","Waarlijk, dit is een vermaning,",3:37.279
,فَمَن شَآءَ ٱتَّخَذَ إِلَىٰ رَبِّهِۦ سَبِيلًا,so whoever wills may take to his Lord a way.,laat daarom wie wil een Pad tot zijn Heer nemen!,3:42.533
73:20,إِنَّ رَبَّكَ يَعْلَمُ أَنَّكَ تَقُومُ أَدْنَىٰ مِن ثُلُثَىِ ٱلَّيْلِ وَنِصْفَهُۥ وَثُلُثَهُۥ وَطَآئِفَةٌ مِّنَ ٱلَّذِينَ مَعَكَ ۚ وَٱللَّهُ يُقَدِّرُ ٱلَّيْلَ وَٱلنَّهَارَ ۚ عَلِمَ أَن لَّن تُحْصُوهُ فَتَابَ عَلَيْكُمْ ۖ فَٱقْرَءُوا مَا تَيَسَّرَ مِنَ ٱلْقُرْءَانِ ۚ عَلِمَ أَن سَيَكُونُ مِنكُم مَّرْضَىٰ ۙ وَءَاخَرُونَ يَضْرِبُونَ فِى ٱلْأَرْضِ يَبْتَغُونَ مِن فَضْلِ ٱللَّهِ ۙ وَءَاخَرُونَ يُقَـٰتِلُونَ فِى سَبِيلِ ٱللَّهِ ۖ فَٱقْرَءُوا مَا تَيَسَّرَ مِنْهُ ۚ وَأَقِيمُوا ٱلصَّلَوٰةَ وَءَاتُوا ٱلزَّكَوٰةَ وَأَقْرِضُوا ٱللَّهَ قَرْضًا حَسَنًا ۚ وَمَا تُقَدِّمُوا لِأَنفُسِكُم مِّنْ خَيْرٍ تَجِدُوهُ عِندَ ٱللَّهِ هُوَ خَيْرًا وَأَعْظَمَ أَجْرًا ۚ وَٱسْتَغْفِرُوا ٱللَّهَ ۖ إِنَّ ٱللَّهَ غَفُورٌ رَّحِيمٌۢ,"Indeed, your Lord knows, [O Muhammad], that you stand [in prayer] almost two thirds of the night or half of it or a third of it, and [so do] a group of those with you. And Allah determines [the extent of] the night and the day. He has known that you [Muslims] will not be able to do it and has turned to you in forgiveness, so recite what is easy [for you] of the Qur’ān. He has known that there will be among you those who are ill and others traveling throughout the land seeking [something] of the bounty of Allah and others fighting for the cause of Allah. So recite what is easy from it and establish prayer and give zakāh and loan Allah a goodly loan.2 And whatever good you put forward for yourselves - you will find it with Allah. It is better and greater in reward. And seek forgiveness of Allah. Indeed, Allah is Forgiving and Merciful.","Waarlijk, jouw Heer weet dat je bijna tweederde of de helft van de nacht of een derde van de nacht staat (te bidden) en dat doen ook een deel van degenen die bij jou horen. En Allah kent de nacht en de dag. Hij weet dat jullie niet in staat zijn om de hele nacht te bidden, dus keert Hij zich in barmhartigheid tot jullie. Verricht van het nachtgebed zoveel als gemakkelijk is voor jullie. Hij weet dat er onder jullie zieken zijn en anderen die door het land reizen, op zoek naar Allah’s overvloed, en anderen die strijden voor de zaak van Allah. En verricht van het nachtgebed wat gemakkelijk is voor jullie. En onderhoudt het gebed en geef zakaat en leen aan Allah een goede lening. En wat jullie vooruitzenden voor julliezelf aan goede daden, jullie zullen het bij Allah aantreffen. Het is een betere en grotere beloning. En vraag om vergiffenis van Allah. Waarlijk, Allah is Vergevingsgezind, Genadevol.",3:52.770
,,,,5:45.885
